epsilon,Average Cost,Cost variance,Time taken
0,4.49155246376636,0,950.107208490372
0.02,4.84847833763862,0,952.128860712051
0.04,5.65150511286685,0,951.410291194916
0.06,6.98137011358131,0,948.796247720718
0.08,8.84201859688224,0,948.623938798905
0.1,11.2338261550166,0,950.099501371384
0.12,14.1567883562127,0,-1
0.14,17.6108066106739,0,-1
0.16,21.5957457033909,0,-1
0.18,26.1114535609812,0,-1
0.2,31.1577716202498,0,948.839023590088
0.3,64.3436931645271,0,948.404598236084
0.4,110.759648358169,0,948.872089147568
0.5,170.015145349773,0,948.791100263596
0.6,240.581659793494,0,948.842225313187
0.8,403.870088428636,0,951.668842554092
1,574.907253266347,0,947.937968254089
